county,year,month,flood
Morobo,2011,1,0
Kajo-keji,2011,1,0
Lainya,2011,1,0
Yei,2011,1,0
Juba,2011,1,0
Terekeka,2011,1,0
Magwi,2011,1,0
Ikotos,2011,1,0
Kapoeta South,2011,1,0
Budi,2011,1,0
Torit,2011,1,0
Kapoeta North,2011,1,0
Lafon,2011,1,0
Kapoeta East,2011,1,0
Awerial,2011,1,0
Yirol West,2011,1,0
Wulu,2011,1,0
Rumbek East,2011,1,0
Cueibet,2011,1,0
Rumbek North,2011,1,0
Rumbek Centre,2011,1,0
Yirol East,2011,1,1
Aweil South,2011,1,0
Aweil Centre,2011,1,0
Aweil West,2011,1,0
Aweil North,2011,1,0
Aweil East,2011,1,0
Panyijiar,2011,1,1
Mayendit,2011,1,0
Leer,2011,1,0
Koch,2011,1,0
Mayom,2011,1,0
Guit,2011,1,0
Rubkona,2011,1,0
Abiemnhom,2011,1,0
Pariang,2011,1,0
Tonj South,2011,1,0
Tonj East,2011,1,0
Tonj North,2011,1,0
Gogrial East,2011,1,0
Gogrial West,2011,1,0
Twic,2011,1,0
Wau,2011,1,0
Jur River,2011,1,0
Raga,2011,1,0
Maridi,2011,1,0
Mundri West,2011,1,0
Mundri East,2011,1,0
Ibba,2011,1,0
Yambio,2011,1,0
Nzara,2011,1,0
Mvolo,2011,1,0
Ezo,2011,1,0
Tambura,2011,1,0
Nagero,2011,1,0
Bor South,2011,1,0
Pibor,2011,1,0
Twic East,2011,1,1
Pochalla,2011,1,0
Duk,2011,1,0
Uror,2011,1,0
Akobo,2011,1,0
Ayod,2011,1,0
Nyirol,2011,1,0
Canal/Pigi,2011,1,0
Fangak,2011,1,0
Ulang,2011,1,0
Maiwut,2011,1,0
Luakpiny/Nasir,2011,1,0
Longochuk,2011,1,0
Panyikang,2011,1,0
Malakal,2011,1,1
Baliet,2011,1,0
Fashoda,2011,1,0
Melut,2011,1,0
Manyo,2011,1,1
Renk,2011,1,0
Maban,2011,1,0
Abyei,2011,1,0
Morobo,2011,2,0
Kajo-keji,2011,2,0
Lainya,2011,2,0
Yei,2011,2,0
Juba,2011,2,0
Terekeka,2011,2,0
Magwi,2011,2,0
Ikotos,2011,2,0
Kapoeta South,2011,2,0
Budi,2011,2,0
Torit,2011,2,0
Kapoeta North,2011,2,0
Lafon,2011,2,0
Kapoeta East,2011,2,0
Awerial,2011,2,0
Yirol West,2011,2,0
Wulu,2011,2,0
Rumbek East,2011,2,0
Cueibet,2011,2,0
Rumbek North,2011,2,0
Rumbek Centre,2011,2,0
Yirol East,2011,2,0
Aweil South,2011,2,0
Aweil Centre,2011,2,0
Aweil West,2011,2,0
Aweil North,2011,2,0
Aweil East,2011,2,0
Panyijiar,2011,2,0
Mayendit,2011,2,0
Leer,2011,2,0
Koch,2011,2,0
Mayom,2011,2,0
Guit,2011,2,0
Rubkona,2011,2,0
Abiemnhom,2011,2,0
Pariang,2011,2,0
Tonj South,2011,2,0
Tonj East,2011,2,0
Tonj North,2011,2,0
Gogrial East,2011,2,0
Gogrial West,2011,2,0
Twic,2011,2,0
Wau,2011,2,0
Jur River,2011,2,0
Raga,2011,2,0
Maridi,2011,2,0
Mundri West,2011,2,0
Mundri East,2011,2,0
Ibba,2011,2,0
Yambio,2011,2,0
Nzara,2011,2,0
Mvolo,2011,2,0
Ezo,2011,2,0
Tambura,2011,2,0
Nagero,2011,2,0
Bor South,2011,2,0
Pibor,2011,2,0
Twic East,2011,2,0
Pochalla,2011,2,0
Duk,2011,2,0
Uror,2011,2,0
Akobo,2011,2,0
Ayod,2011,2,0
Nyirol,2011,2,0
Canal/Pigi,2011,2,0
Fangak,2011,2,0
Ulang,2011,2,0
Maiwut,2011,2,0
Luakpiny/Nasir,2011,2,0
Longochuk,2011,2,0
Panyikang,2011,2,0
Malakal,2011,2,0
Baliet,2011,2,0
Fashoda,2011,2,0
Melut,2011,2,0
Manyo,2011,2,0
Renk,2011,2,0
Maban,2011,2,0
Abyei,2011,2,0
Morobo,2011,3,0
Kajo-keji,2011,3,0
Lainya,2011,3,0
Yei,2011,3,0
Juba,2011,3,0
Terekeka,2011,3,0
Magwi,2011,3,0
Ikotos,2011,3,0
Kapoeta South,2011,3,0
Budi,2011,3,0
Torit,2011,3,0
Kapoeta North,2011,3,0
Lafon,2011,3,0
Kapoeta East,2011,3,0
Awerial,2011,3,0
Yirol West,2011,3,0
Wulu,2011,3,0
Rumbek East,2011,3,0
